stn;time;vapour_pressure_2m_above [hPa];qpva200h0;mpva200h0;atmospheric_pressure [hPa];qprestah0;mprestah0;evaporation [mm];qeva000hs;meva000hs
MAG;2012113017;4.3;0;0;978.5;4;0;-;-;-
MAG;2012113018;4.7;0;0;979.2;4;0;-;-;-
MAG;2012113019;4.8;0;0;980.1;4;0;-;-;-
MAG;2012113020;5.0;0;0;981.1;4;0;-;-;-
MAG;2012113021;5.1;0;0;982.0;4;0;-;-;-
MAG;2012113022;5.4;0;0;982.5;4;0;-;-;-
MAG;2012113023;5.6;0;0;982.9;4;0;-;-;-
MAG;2012120100;5.6;0;0;983.3;4;0;-;-;-
MAG;2012120101;5.8;0;0;983.5;4;0;-;-;-
MAG;2012120102;6.0;0;0;983.7;4;0;-;-;-
MAG;2012120103;6.2;0;0;983.8;4;0;-;-;-
MAG;2012120104;6.4;0;0;984.0;4;0;-;-;-
MAG;2012120105;6.4;0;0;984.3;4;0;-;-;-
MAG;2012120106;6.3;0;0;984.9;4;0;-;-;-
MAG;2012120107;6.3;0;0;985.4;4;0;-;-;-
MAG;2012120108;6.3;0;0;986.1;4;0;-;-;-
MAG;2012120109;6.3;0;0;986.8;4;0;-;-;-
MAG;2012120110;5.5;0;0;987.2;4;0;-;-;-
MAG;2012120111;5.7;0;0;987.2;4;0;-;-;-
MAG;2012120112;5.6;0;0;987.1;4;0;-;-;-
MAG;2012120113;5.7;0;0;987.0;4;0;-;-;-
MAG;2012120114;5.9;0;0;987.0;4;0;-;-;-
MAG;2012120115;6.4;0;0;987.0;4;0;-;-;-
MAG;2012120116;6.3;0;0;986.9;4;0;-;-;-
MAG;2012120117;6.2;0;0;986.9;4;0;-;-;-
MAG;2012120118;6.0;0;0;987.1;4;0;-;-;-
MAG;2012120119;6.0;0;0;987.4;4;0;-;-;-
MAG;2012120120;6.3;0;0;987.7;4;0;-;-;-
MAG;2012120121;6.4;0;0;987.7;4;0;-;-;-
MAG;2012120122;6.4;0;0;987.6;4;0;-;-;-
