stn;time;reference_evaporation_FAO [mm/d];qerefaod0;merefaod0
MAG;19810101;2.0;0;0
MAG;19810102;2.0;0;0
MAG;19810103;0.6;0;0
MAG;19810104;1.6;0;0
MAG;19810105;1.2;0;0
MAG;19810106;0.6;0;0
MAG;19810107;0.9;0;0
MAG;19810108;1.4;0;0
MAG;19810109;0.4;0;0
MAG;19810110;0.4;0;0
MAG;19810111;0.6;0;0
MAG;19810112;0.4;0;0
MAG;19810113;0.7;0;-1
MAG;19810114;1.5;0;0
MAG;19810115;0.9;0;0
MAG;19810116;1.0;0;0
MAG;19810117;0.6;0;0
MAG;19810118;0.5;0;0
MAG;19810119;0.7;0;0
MAG;19810120;1.2;0;0
MAG;19810121;2.5;0;0
MAG;19810122;0.6;0;0
MAG;19810123;0.5;0;0
MAG;19810124;0.5;0;0
MAG;19810125;0.6;0;0
MAG;19810126;1.8;0;0
MAG;19810127;0.6;0;0
MAG;19810128;0.6;0;0
MAG;19810129;0.8;0;0
MAG;19810130;0.8;0;0
MAG;19810131;1.0;0;0
MAG;19810201;0.8;0;0
MAG;19810202;0.9;0;0
MAG;19810203;0.7;0;0
MAG;19810204;0.9;0;-1
MAG;19810205;1.8;0;0
MAG;19810206;2.0;0;0
MAG;19810207;0.8;0;0
MAG;19810208;0.8;0;0
MAG;19810209;0.6;0;0
MAG;19810210;0.8;0;0
MAG;19810211;2.6;0;0
MAG;19810212;1.0;0;0
MAG;19810213;1.1;0;0
MAG;19810214;1.0;0;0
MAG;19810215;0.8;0;0
MAG;19810216;0.7;0;0
MAG;19810217;0.8;0;0
MAG;19810218;0.6;0;0
MAG;19810219;1.0;0;0
MAG;19810220;1.0;0;0
MAG;19810221;0.9;0;0
MAG;19810222;1.2;0;0
MAG;19810223;1.0;0;0
MAG;19810224;1.1;0;0
MAG;19810225;1.2;0;0
MAG;19810226;0.9;0;0
MAG;19810227;1.0;0;0
MAG;19810228;1.1;0;0
MAG;19810301;1.0;0;0
MAG;19810302;1.1;0;0
MAG;19810303;0.8;0;0
MAG;19810304;2.7;0;0
MAG;19810305;1.8;0;0
MAG;19810306;0.8;0;0
MAG;19810307;1.4;0;0
MAG;19810308;1.0;0;0
MAG;19810309;1.6;0;0
MAG;19810310;1.6;0;0
MAG;19810311;1.5;0;0
MAG;19810312;1.1;0;0
MAG;19810313;2.7;0;0
MAG;19810314;1.7;0;0
MAG;19810315;0.7;0;0
MAG;19810316;2.2;0;0
MAG;19810317;1.0;0;-1
MAG;19810318;2.8;0;0
MAG;19810319;5.2;0;0
MAG;19810320;2.4;0;0
MAG;19810321;2.0;0;0
MAG;19810322;1.0;0;0
MAG;19810323;2.0;0;0
MAG;19810324;2.6;0;0
MAG;19810325;2.4;0;0
MAG;19810326;0.7;0;0
MAG;19810327;2.8;0;0
MAG;19810328;1.6;0;0
MAG;19810329;0.7;0;0
MAG;19810330;0.6;0;0
MAG;19810331;0.6;0;0
MAG;19810401;1.0;0;0
MAG;19810402;2.2;0;0
MAG;19810403;2.4;0;0
MAG;19810404;2.4;0;0
MAG;19810405;1.3;0;0
MAG;19810406;2.1;0;0
MAG;19810407;2.6;0;0
MAG;19810408;2.6;0;0
MAG;19810409;2.9;0;0
MAG;19810410;2.9;0;0
MAG;19810411;2.4;0;0
MAG;19810412;2.6;0;0
MAG;19810413;3.2;0;0
MAG;19810414;3.3;0;0
MAG;19810415;3.2;0;0
MAG;19810416;2.9;0;0
MAG;19810417;1.4;0;0
MAG;19810418;2.6;0;0
MAG;19810419;2.7;0;0
MAG;19810420;0.9;0;0
MAG;19810421;3.0;0;0
MAG;19810422;3.2;0;0
MAG;19810423;2.3;0;0
MAG;19810424;1.5;0;0
MAG;19810425;0.8;0;0
MAG;19810426;0.7;0;0
MAG;19810427;2.8;0;0
MAG;19810428;3.9;0;0
MAG;19810429;4.0;0;0
MAG;19810430;3.5;0;0
MAG;19810501;3.5;0;0
MAG;19810502;2.7;0;0
MAG;19810503;2.4;0;0
MAG;19810504;2.5;0;0
MAG;19810505;4.6;0;0
MAG;19810506;4.3;0;0
MAG;19810507;3.9;0;0
MAG;19810508;2.8;0;0
MAG;19810509;3.4;0;0
MAG;19810510;1.8;0;0
MAG;19810511;1.4;0;0
MAG;19810512;3.8;0;0
MAG;19810513;2.1;0;0
MAG;19810514;3.3;0;0
MAG;19810515;1.7;0;0
MAG;19810516;2.3;0;0
MAG;19810517;3.0;0;0
MAG;19810518;2.1;0;0
MAG;19810519;3.3;0;0
MAG;19810520;3.2;0;0
MAG;19810521;4.0;0;0
MAG;19810522;1.5;0;0
MAG;19810523;4.6;0;0
MAG;19810524;0.9;0;0
MAG;19810525;0.7;0;0
MAG;19810526;0.9;0;0
MAG;19810527;1.3;0;0
MAG;19810528;3.5;0;0
MAG;19810529;3.8;0;0
MAG;19810530;2.6;0;0
MAG;19810531;3.3;0;0
MAG;19810601;4.3;0;0
MAG;19810602;4.5;0;0
MAG;19810603;3.4;0;0
MAG;19810604;4.2;0;0
MAG;19810605;4.8;0;0
MAG;19810606;4.5;0;0
MAG;19810607;4.7;0;0
MAG;19810608;2.5;0;0
MAG;19810609;3.8;0;0
MAG;19810610;4.8;0;0
MAG;19810611;4.3;0;0
MAG;19810612;4.6;0;0
MAG;19810613;6.3;0;0
MAG;19810614;4.9;0;0
MAG;19810615;5.1;0;0
MAG;19810616;3.1;0;0
MAG;19810617;5.0;0;0
MAG;19810618;5.2;0;0
MAG;19810619;5.5;0;0
MAG;19810620;3.2;0;-1
MAG;19810621;3.2;0;0
MAG;19810622;4.6;0;0
MAG;19810623;4.2;0;0
MAG;19810624;4.8;0;-1
MAG;19810625;2.3;0;0
MAG;19810626;2.1;0;0
MAG;19810627;1.8;0;0
MAG;19810628;1.5;0;0
MAG;19810629;4.3;0;-1
MAG;19810630;5.1;0;0
MAG;19810701;4.8;0;0
MAG;19810702;2.2;0;0
MAG;19810703;1.3;0;0
MAG;19810704;6.0;0;0
MAG;19810705;3.6;0;0
MAG;19810706;4.6;0;0
MAG;19810707;4.3;0;0
MAG;19810708;4.1;0;0
MAG;19810709;4.4;0;0
MAG;19810710;4.4;0;-3
MAG;19810711;4.7;0;-2
MAG;19810712;4.6;0;0
MAG;19810713;3.8;0;0
MAG;19810714;4.9;0;0
MAG;19810715;5.1;0;0
MAG;19810716;4.3;0;0
MAG;19810717;1.8;0;0
MAG;19810718;1.5;0;0
MAG;19810719;3.9;0;0
MAG;19810720;4.5;0;0
MAG;19810721;5.7;0;0
MAG;19810722;3.5;0;0
MAG;19810723;0.9;0;0
MAG;19810724;1.0;0;0
MAG;19810725;4.8;0;0
MAG;19810726;4.8;0;0
MAG;19810727;3.5;0;0
MAG;19810728;5.0;0;0
MAG;19810729;4.9;0;0
MAG;19810730;4.3;0;0
MAG;19810731;3.5;0;-1
