date_time,precipitation [mm],temperature [C],moisture [%]
2000-01-01 00:00:00,0.0,15.0,0.586668485
2000-01-01 00:30:00,0.2,15.2,0.586549273
2000-01-01 01:00:00,0.2,15.3,0.586430061
2000-01-01 01:30:00,0.6,15.1,0.586310848
2000-01-01 02:00:00,0.2,15.3,0.586191636
2000-01-01 02:30:00,0.0,15.7,0.586072424
2000-01-01 03:00:00,0.0,15.5,0.585953212
2000-01-01 03:30:00,0.0,15.8,0.58583403
2000-01-01 04:00:00,0.0,16.0,0.585714818
2000-01-01 04:30:00,0.4,15.5,0.585595606
2000-01-01 05:00:00,0.6,15.3,0.585476394
2000-01-01 05:30:00,1.6,15.2,0.585357182
2000-01-01 06:00:00,0.8,15.3,0.58523797
2000-01-01 06:30:00,0.0,15.5,0.582386
2000-01-01 07:00:00,0.0,15.9,0.579270576
2000-01-01 07:30:00,0.0,16.2,0.577195394
2000-01-01 08:00:00,0.2,16.0,0.575299242
2000-01-01 08:30:00,0.0,16.4,0.572977394
2000-01-01 09:00:00,0.0,16.5,0.571102333
2000-01-01 09:30:00,0.0,17.4,0.56948203
2000-01-01 10:00:00,0.0,17.3,0.568293758
2000-01-01 10:30:00,0.0,18.1,0.567290939
2000-01-01 11:00:00,0.0,18.0,0.566473939
2000-01-01 11:30:00,0.0,18.7,0.565854333
2000-01-01 12:00:00,0.0,17.7,0.565029061
2000-01-01 12:30:00,0.0,17.0,0.564568394
2000-01-01 13:00:00,0.0,17.7,0.564283545
2000-01-01 13:30:00,1.6,16.4,0.56963997
2000-01-01 14:00:00,3.0,16.2,0.642939667
2000-01-01 14:30:00,3.2,16.2,0.723101788
2000-01-01 15:00:00,2.2,16.0,0.739866788
2000-01-01 15:30:00,10.0,16.2,0.769476848
2000-01-01 16:00:00,1.8,16.6,0.799305697
2000-01-01 16:30:00,0.0,17.0,0.774821242
2000-01-01 17:00:00,0.0,17.1,0.756544697
2000-01-01 17:30:00,0.0,17.6,0.745803727
2000-01-01 18:00:00,0.0,18.0,0.739237152
2000-01-01 18:30:00,0.0,17.8,0.733882879
2000-01-01 19:00:00,0.0,17.7,0.729582909
2000-01-01 19:30:00,0.0,17.3,0.726049939
2000-01-01 20:00:00,0.0,17.0,0.723113788
2000-01-01 20:30:00,0.0,16.6,0.72064103
2000-01-01 21:00:00,0.0,16.3,0.718028879
2000-01-01 21:30:00,0.0,16.1,0.715229576
2000-01-01 22:00:00,0.0,15.9,0.712923606
2000-01-01 22:30:00,0.0,15.5,0.710744242
2000-01-01 23:00:00,0.0,15.5,0.708672909
2000-01-01 23:30:00,0.0,15.3,0.70665697
2000-01-02 00:00:00,0.0,15.0,0.70501697
2000-01-02 00:30:00,0.0,14.8,0.703198121
2000-01-02 01:00:00,0.0,15.0,0.701692485
2000-01-02 01:30:00,0.0,15.1,0.700221394
2000-01-02 02:00:00,0.0,15.1,0.699226515
2000-01-02 02:30:00,0.0,15.7,0.698224333
